id,player,club,position,age,value,nationality,avatar_url
224,B. Hvidt,AGF,Left-Back,19,300000,Denmark,images/profile_img/empty.jpg
225,G. Links,AGF,Right Wing,21,300000,South Africa,images/profile_img/empty.jpg
226,J. Juelsgård,AGF,Left Centre-Back,31,300000,Denmark,images/profile_img/empty.jpg
227,J. Pohl,Horsens,Striker,23,300000,Denmark,images/profile_img/empty.jpg
228,K. Madu,OB Res.,,24,300000,Nigeria,images/profile_img/empty.jpg
229,K. Conboy,Esbjerg,Left-Back,32,300000,"Denmark, England",images/profile_img/empty.jpg
230,A. Erceg,Esbjerg,Left Wing,30,300000,Croatia,images/profile_img/empty.jpg
231,S. Reese,Esbjerg,Left Centre-Back,26,300000,Denmark,images/profile_img/empty.jpg
232,M. Qvist,Horsens,Left Centre-Back,26,300000,"Colombia, Denmark",images/profile_img/empty.jpg
233,F. Putros,Viborg,Left-Back,26,300000,"Denmark, Iraq",images/profile_img/empty.jpg
234,J. Gertsen,Silkeborg,Left Centre-Back,23,300000,Denmark,images/profile_img/empty.jpg
235,M. Lumb,Horsens,Left-Back,32,300000,Denmark,images/profile_img/empty.jpg
236,M. Delač,Horsens,Goalkeeper,27,300000,"Bosnia and Herzegovina, Croatia",images/profile_img/empty.jpg
237,K. Fisker,Brøndby,Left-Back,31,300000,Denmark,images/profile_img/empty.jpg
238,J. Rask,Hobro,Goalkeeper,31,300000,Denmark,images/profile_img/empty.jpg
239,R. Minor Petersen,Hobro,Left Centre-Back,31,300000,Denmark,images/profile_img/empty.jpg
240,O. Thychosen,Hobro,Left Wing,27,300000,Denmark,images/profile_img/empty.jpg
241,I. Louati,Hobro,Striker,26,300000,Tunisia,images/profile_img/empty.jpg
242,N. Marfelt,SønderjyskE,Left-Back,25,300000,Denmark,images/profile_img/empty.jpg
243,M. Haarup,Hobro,Left-Back,24,300000,Denmark,images/profile_img/empty.jpg
244,V. Ekani,SønderjyskE,Defensive-Midfielder,22,300000,Cameroon,images/profile_img/empty.jpg
245,Óscar Whalley,OFI,Goalkeeper,25,300000,"Spain, England",images/profile_img/empty.jpg
246,N. Vallys,Silkeborg,Right Wing,23,300000,Denmark,images/profile_img/empty.jpg
247,F. Ibsen,Silkeborg,Centre-Back,20,300000,"Denmark, Brazil",images/profile_img/empty.jpg
248,V. Moberg,Silkeborg,Left-Back,29,300000,Norway,images/profile_img/empty.jpg
249,E. Holten,Silkeborg,Striker,23,300000,Denmark,images/profile_img/empty.jpg
250,T. Sparv,Midtjylland,Defensive-Midfielder,33,300000,Finland,images/profile_img/empty.jpg
251,K. Tshiembe,Lyngby,Centre-Back,22,300000,"Denmark, Congo DR",images/profile_img/empty.jpg
252,S. Graves Jensen,Randers,Centre-Back,20,250000,Denmark,images/profile_img/empty.jpg
253,S. Maholli,Silkeborg,Striker,26,250000,"Sweden, Kosovo",images/profile_img/empty.jpg
254,J. Dakir,Randers,Goalkeeper,22,250000,Denmark,images/profile_img/empty.jpg
255,N. Røjkjær,Esbjerg,Right Wing,21,250000,Denmark,images/profile_img/empty.jpg
256,J. Christjansen,Lyngby,Left-Back,32,250000,Denmark,images/profile_img/empty.jpg
257,E. Simonsen,Nykøbing,Left Wing,20,250000,Denmark,images/profile_img/empty.jpg
258,N. Madsen,Midtjylland,Defensive-Midfielder,19,250000,Denmark,images/profile_img/empty.jpg
259,P. Egelund,Esbjerg,Left Wing,19,250000,Denmark,images/profile_img/empty.jpg
260,T. Damsgaard,Randers,Right Wing,21,250000,Denmark,images/profile_img/empty.jpg
261,E. Mašović,Horsens,Centre-Back,21,250000,"Serbia, Bosnia and Herzegovina",images/profile_img/empty.jpg
262,M. Lansing,Horsens,Goalkeeper,25,250000,USA,images/profile_img/empty.jpg
263,J. Absalonsen,SønderjyskE,Left Wing,34,250000,Denmark,images/profile_img/empty.jpg
264,J. Brix-Damborg,Hobro,Left-Back,33,250000,Denmark,images/profile_img/empty.jpg
265,K. Memija,Hobro,Attacking-Midfielder,24,250000,Bosnia and Herzegovina,images/profile_img/empty.jpg
266,J. Eskesen,SønderjyskE,Right Wing,20,250000,Denmark,images/profile_img/empty.jpg
267,A. Gersbach,AGF,Left-Back,22,250000,Australia,images/profile_img/empty.jpg
268,K. Luijckx,Silkeborg,Left Centre-Back,34,250000,Netherlands,images/profile_img/empty.jpg
269,M. Kaalund,Silkeborg,Left-Back,23,250000,Denmark,images/profile_img/empty.jpg
270,L. Fosgaard,Lyngby,Right-Back,33,250000,Denmark,images/profile_img/empty.jpg
271,A. Riel,Lyngby,Striker,30,250000,Denmark,images/profile_img/empty.jpg
272,K. Jørgensen,Lyngby,Right-Back,20,250000,Denmark,images/profile_img/empty.jpg
273,P. Kristensen,AaB,Left-Back,32,200000,Denmark,images/profile_img/empty.jpg
